categoria,pergunta,resposta
Fundamentos,"Qual dispositivo constitucional estabelece o dever de licitar?","Art. 37, XXI da CF/88: obras, serviços, compras e alienações serão contratados mediante licitação pública, ressalvados os casos previstos em lei."
Fundamentos,"Quem tem competência privativa para legislar sobre normas gerais de licitação?","A União (CF, art. 22, XXVII). Estados e Municípios podem legislar supletivamente para adaptação às suas realidades."
Fundamentos,"Quais são os três pressupostos para realização de licitação?","Fático, lógico e jurídico — devem estar presentes de forma concomitante."
Vigência,"Quando entrou em vigor a Lei nº 14.133/2021?","Em 1º de abril de 2021 (data da publicação), sem vacatio legis."
Vigência,"Quais leis foram revogadas imediatamente pela Lei 14.133/2021?","Apenas os arts. 89 a 108 da Lei 8.666/93 (crimes em licitação) foram revogados de imediato."
Vigência,"Quando ocorreu a revogação total da Lei nº 8.666/93?","Após 2 anos da publicação da Lei 14.133/2021, ou seja, em 1º de abril de 2023."
Vigência,"Pode-se combinar normas da Lei 8.666/93 com a Lei 14.133/2021 num mesmo processo?","Não. É vedada a aplicação combinada. Deve-se optar por um regime e indicá-lo expressamente no edital."
Vigência,"Municípios com até quantos habitantes têm prazo especial para adaptar-se?","Municípios com até 20.000 habitantes têm prazo de 6 anos para cumprir requisitos dos arts. 7º e 8º (agentes, licitações eletrônicas e divulgação em sítio oficial)."
Modalidades,"Quais são as 5 modalidades de licitação da Lei 14.133/2021?","Pregão, Concorrência, Concurso, Leilão e Diálogo Competitivo."
Modalidades,"Para que serve o Pregão? Qual critério de julgamento usa?","Modalidade obrigatória para bens e serviços comuns. Critério: menor preço ou maior desconto."
Modalidades,"Para que serve a Concorrência?","Para bens e serviços especiais e obras/serviços comuns e especiais de engenharia. Admite todos os critérios de julgamento."
Modalidades,"O Pregão pode ser usado para serviços de engenharia?","Apenas para serviços comuns de engenharia (padronizáveis). Não se aplica a serviços técnicos especializados de natureza intelectual nem a obras."
Modalidades,"Para que serve o Concurso?","Escolha de trabalho técnico, científico ou artístico. Critério: melhor técnica ou conteúdo artístico. Vencedor recebe prêmio ou remuneração."
Modalidades,"Para que serve o Leilão? Quais suas características únicas?","Alienação de bens imóveis ou móveis inservíveis/apreendidos. Não exige cadastro prévio, não tem fase de habilitação e é homologado após pagamento."
Modalidades,"O que é o Diálogo Competitivo e quando é usado?","Modalidade para obras, serviços e compras com inovação tecnológica, impossibilidade de definir especificações precisas ou soluções disponíveis no mercado. Licitantes selecionados dialogam com a Administração antes de apresentar proposta final."
Modalidades,"É permitido criar novas modalidades de licitação ou combiná-las?","Não. O rol é taxativo e vedada a criação ou combinação de modalidades."
Fases,"Qual é a ordem das fases do processo licitatório na Lei 14.133/2021?","1) Preparatória → 2) Divulgação do edital → 3) Propostas/lances → 4) Julgamento → 5) Habilitação → 6) Recursal → 7) Homologação."
Fases,"Na Lei 14.133/2021, julgamento vem antes ou depois da habilitação?","Antes. A habilitação é posterior ao julgamento (inversão em relação à Lei 8.666/93). Excepcionalmente pode ser invertida se motivado e previsto no edital."
Fases,"As licitações devem ser preferencialmente eletrônicas ou presenciais?","Preferencialmente eletrônicas. A forma presencial exige motivação e a sessão deve ser gravada em áudio e vídeo."
Fases,"O que deve conter o Estudo Técnico Preliminar (ETP)?","Descrição da necessidade, estimativa de quantidades, estimativa de valor, parcelamento justificado, impactos ambientais, conclusão sobre viabilidade — entre outros elementos."
Fases,"O orçamento estimado pode ser sigiloso?","Sim, se justificado. O sigilo não prevalece para os órgãos de controle interno e externo."
Prazos,"Qual o prazo mínimo para propostas em pregão de aquisição de bens (menor preço)?","8 dias úteis."
Prazos,"Qual o prazo mínimo para contratação integrada de obras?","60 dias úteis."
Prazos,"Qual o prazo mínimo para propostas em critério de técnica e preço ou melhor técnica?","35 dias úteis."
Prazos,"Qual o prazo para impugnar o edital de licitação?","Até 3 dias úteis antes da abertura do certame. A resposta deve ser divulgada em até 3 dias úteis (limitada ao dia útil anterior à abertura)."
Prazos,"Qual o prazo para recurso contra julgamento de propostas e habilitação?","3 dias úteis, contados da intimação ou lavratura da ata."
